id|fecha_captura|precio|precio_m2|area|habitaciones|banos|ubicacion|fecha_publicacion|extras|web|descripcion
-9061710273272792174|2024-09-06|54|1.12|48|1|1|San Isidro del Inca, Centro Norte, Quito, Pichincha|Publicado hace 1 hora||Properati|Torres Santa Catalina - Departamentos
-199608322341451695|2024-09-06|79|2.03|39|1|1|Bellavista, Iñaquito, Centro Norte, Quito, Pichincha|Publicado hace 1 hora||Properati|IMPERIA TERRA
-8783232679905191632|2024-09-06|110|0.6|183|3|4|Ponceano, Norte De Quito, Quito, Pichincha|Publicado hace 3 días, 23 horas||Properati|Departamento en Venta en Ponceano
4857251366667001112|2024-09-06|96|0.91|105|2|2|Tumbaco, Valle Tumbaco, Quito, Pichincha|Publicado 08/08/2024||Properati|Departamento en Venta en Tumbaco
-7734223211870670358|2024-09-06|50|0.68|74|3|1|Cotocollao, Norte De Quito, Quito, Pichincha|Publicado hace 4 días, 17 horas||Properati|Departamento en Venta en Cotocollao
-1239988163161772088|2024-09-06|95|0.68|140|3|3|Kennedy, Centro Norte, Quito, Pichincha|Publicado 23/07/2024||Properati|Departamento en Venta en Kennedy
-1239988163161772088|2024-09-06|95|0.68|140|3|3|Kennedy, Centro Norte, Quito, Pichincha|Publicado 16/04/2024||Properati|Departamento en Venta en Kennedy
3886515576684073593|2024-09-06|136|1.46|93|3|2|Centro Norte, Quito, Pichincha|Publicado 04/07/2024||Properati|Departamento en Venta en Centro Norte
3886515576684073593|2024-09-06|136|1.46|93|3|2|Centro Norte, Quito, Pichincha|Publicado 04/07/2024||Properati|Departamento en Venta en Centro Norte
-4811581487230005247|2024-09-06|150|0.49|308|3|3|Carcelen, Norte De Quito, Quito, Pichincha|Publicado hace 2 semanas, 15 horas||Properati|Departamento en Venta en Carcelen
5926225524610642516|2024-09-06|157|1.8|87|2|2|La Carolina, Iñaquito, Centro Norte, Quito, Pichincha|Publicado 07/07/2023||Properati|Departamento en Venta en La Carolina
5926225524610642516|2024-09-06|246|1.8|137|3|3|La Carolina, Iñaquito, Centro Norte, Quito, Pichincha|Publicado 15/03/2024||Properati|Departamento en Venta en La Carolina
5186894726985957963|2024-09-06|150|1.17|128|2|2|Monteserrin, Jipijapa, Centro Norte, Quito, Pichincha|Publicado hace 2 semanas, 4 días||Properati|Departamento en Venta en Monteserrin
3886515576684073593|2024-09-06|450|2.25|200|3|4|Centro Norte, Quito, Pichincha|Publicado hace 1 semana, 5 días||Properati|Departamento en Venta en Centro Norte
4857251366667001112|2024-09-06|112|1.07|105|3|2|Tumbaco, Valle Tumbaco, Quito, Pichincha|Publicado 11/03/2024||Properati|Departamento en Venta en Tumbaco
3886515576684073593|2024-09-06|380|1.09|350|3|4|Centro Norte, Quito, Pichincha|Publicado 02/07/2024||Properati|Departamento en Venta en Centro Norte
4710069218813843941|2024-09-06|80|0.62|130|2|2|El Batan, Iñaquito, Centro Norte, Quito, Pichincha|Publicado 13/08/2024||Properati|Departamento en Venta en El Batan
2463991494759223840|2024-09-06|175|1.31|134|3|2|Granda Centeno, Rumipamba, Centro Norte, Quito, Pichincha|Publicado 13/08/2024||Properati|Departamento en Venta en Granda Centeno
7405184054175235694|2024-09-06|640|0.98|650|5|6|Quito Tenis, Centro Norte, Quito, Pichincha|Publicado 28/09/2022||Properati|Departamento en Venta en Quito Tenis
-3456716922416475060|2024-09-06|210|1.06|198|3|4|Bellavista, Iñaquito, Centro Norte, Quito, Pichincha|Publicado 02/07/2024||Properati|Departamento en Venta en Bellavista
-8783232679905191632|2024-09-06|48|0.87|55|3|1|Ponceano, Norte De Quito, Quito, Pichincha|Publicado 08/08/2024||Properati|Departamento en Venta en Ponceano
409187910256092399|2024-09-06|118|0.89|133|3|3|Jipijapa, Centro Norte, Quito, Pichincha|Publicado 18/06/2024||Properati|Departamento en Venta en Jipijapa
-8783232679905191632|2024-09-06|210|1.0|209|7|6|Ponceano, Norte De Quito, Quito, Pichincha|Publicado hace 2 semanas, 1 día||Properati|Departamento en Venta en Ponceano
-8783232679905191632|2024-09-06|115|1.13|102|3|1|Ponceano, Norte De Quito, Quito, Pichincha|Publicado 08/05/2024||Properati|Departamento en Venta en Ponceano
9205776676122713121|2024-09-06|110|0.5|220|3|3|San Isidro del Inca, Centro Norte, Quito, Pichincha|Publicado hace 2 semanas, 1 día||Properati|Departamento en Venta en San Isidro del Inca
-8783232679905191632|2024-09-06|95|1.04|91|2|1|Ponceano, Norte De Quito, Quito, Pichincha|Publicado 08/05/2024||Properati|Departamento en Venta en Ponceano
-3456716922416475060|2024-09-06|195|1.25|156|3|4|Bellavista, Iñaquito, Centro Norte, Quito, Pichincha|Publicado 27/05/2024||Properati|Departamento en Venta en Bellavista
-3456716922416475060|2024-09-06|220|2.1|105|2|3|Bellavista, Iñaquito, Centro Norte, Quito, Pichincha|Publicado 20/03/2024||Properati|Departamento en Venta en Bellavista
-3456716922416475060|2024-09-06|135|1.35|100|3|2|Bellavista, Iñaquito, Centro Norte, Quito, Pichincha|Publicado hace 2 semanas, 1 día||Properati|Departamento en Venta en Bellavista
-3456716922416475060|2024-09-06|280|0.82|341|3|5|Bellavista, Iñaquito, Centro Norte, Quito, Pichincha|Publicado hace 2 semanas, 6 días||Properati|Departamento en Venta en Bellavista
-3456716922416475060|2024-09-06|150|1.53|98|2|2|Bellavista, Iñaquito, Centro Norte, Quito, Pichincha|Publicado 26/03/2024||Properati|Departamento en Venta en Bellavista
-8783232679905191632|2024-09-06|124|0.86|144|3|3|Ponceano, Norte De Quito, Quito, Pichincha|Publicado 13/06/2024||Properati|Departamento en Venta en Ponceano
3886515576684073593|2024-09-06|149|1.73|86|2|3|Centro Norte, Quito, Pichincha|Publicado 16/07/2024||Properati|Departamento en Venta en Centro Norte
5694536661262567260|2024-09-06|106|1.93|55|1|1|Cumbaya, Valle Tumbaco, Quito, Pichincha|Publicado 11/07/2024||Properati|Departamento en Venta en Cumbaya
5694536661262567260|2024-09-06|305|1.92|159|3|4|Cumbaya, Valle Tumbaco, Quito, Pichincha|Publicado 11/07/2024||Properati|Departamento en Venta en Cumbaya
4056650532322434720|2024-09-06|270|1.65|164|2|3|Gonzalez Suarez, Iñaquito, Centro Norte, Quito, Pichincha|Publicado 22/07/2024||Properati|Departamento en Venta en Gonzalez Suarez
5694536661262567260|2024-09-06|220|1.42|155|3|2|Cumbaya, Valle Tumbaco, Quito, Pichincha|Publicado 28/06/2024||Properati|Departamento en Venta en Cumbaya
5694536661262567260|2024-09-06|683|1.3|527|4|5|Cumbaya, Valle Tumbaco, Quito, Pichincha|Publicado 13/03/2024||Properati|Departamento en Venta en Cumbaya
4710069218813843941|2024-09-06|98|1.03|95|3|3|El Batan, Iñaquito, Centro Norte, Quito, Pichincha|Publicado 26/06/2024||Properati|Departamento en Venta en El Batan
3886515576684073593|2024-09-06|110|1.39|79|1|2|Centro Norte, Quito, Pichincha|Publicado 16/07/2024||Properati|Departamento en Venta en Centro Norte
3886515576684073593|2024-09-06|300|1.91|157|3|3|Centro Norte, Quito, Pichincha|Publicado 16/07/2024||Properati|Departamento en Venta en Centro Norte
5694536661262567260|2024-09-06|428|1.72|249|3|4|Cumbaya, Valle Tumbaco, Quito, Pichincha|Publicado 16/07/2024||Properati|Departamento en Venta en Cumbaya
5694536661262567260|2024-09-06|627|1.35|464|3|4|Cumbaya, Valle Tumbaco, Quito, Pichincha|Publicado 16/07/2024||Properati|Departamento en Venta en Cumbaya
5694536661262567260|2024-09-06|140|1.59|88|1|2|Cumbaya, Valle Tumbaco, Quito, Pichincha|Publicado 16/07/2024||Properati|Departamento en Venta en Cumbaya
5694536661262567260|2024-09-06|130|1.91|68|1|2|Cumbaya, Valle Tumbaco, Quito, Pichincha|Publicado 16/07/2024||Properati|Departamento en Venta en Cumbaya
5694536661262567260|2024-09-06|181|1.91|95|2|2|Cumbaya, Valle Tumbaco, Quito, Pichincha|Publicado 11/07/2024||Properati|Departamento en Venta en Cumbaya
5694536661262567260|2024-09-06|169|1.8|94|2|2|Cumbaya, Valle Tumbaco, Quito, Pichincha|Publicado 11/07/2024||Properati|Departamento en Venta en Cumbaya
5694536661262567260|2024-09-06|202|1.37|147|2|3|Cumbaya, Valle Tumbaco, Quito, Pichincha|Publicado 16/07/2024||Properati|Departamento en Venta en Cumbaya
5694536661262567260|2024-09-06|188|1.86|101|2|2|Cumbaya, Valle Tumbaco, Quito, Pichincha|Publicado 11/07/2024||Properati|Departamento en Venta en Cumbaya
4710069218813843941|2024-09-06|118|0.98|120|3|2|El Batan, Iñaquito, Centro Norte, Quito, Pichincha|Publicado 19/06/2023||Properati|Departamento en Venta en El Batan
5694536661262567260|2024-09-06|229|1.23|186|2|2|Cumbaya, Valle Tumbaco, Quito, Pichincha|Publicado 09/07/2024||Properati|Departamento en Venta en Cumbaya
-3456716922416475060|2024-09-06|169|1.74|97|2|2|Bellavista, Iñaquito, Centro Norte, Quito, Pichincha|Publicado 25/04/2024||Properati|Departamento en Venta en Bellavista
4857251366667001112|2024-09-06|115|1.0|115|2|2|Tumbaco, Valle Tumbaco, Quito, Pichincha|Publicado 06/08/2024||Properati|Departamento en Venta en Tumbaco
4857251366667001112|2024-09-06|145|0.84|172|3|2|Tumbaco, Valle Tumbaco, Quito, Pichincha|Publicado 06/08/2024||Properati|Departamento en Venta en Tumbaco
4857251366667001112|2024-09-06|69|0.93|74|1|1|Tumbaco, Valle Tumbaco, Quito, Pichincha|Publicado 06/08/2024||Properati|Departamento en Venta en Tumbaco
4056650532322434720|2024-09-06|140|0.99|141|2|2|Gonzalez Suarez, Iñaquito, Centro Norte, Quito, Pichincha|Publicado hace 6 días, 19 horas||Properati|Departamento en Venta en Gonzalez Suarez
-3456716922416475060|2024-09-06|97|1.54|63|1|2|Bellavista, Iñaquito, Centro Norte, Quito, Pichincha|Publicado 09/02/2024||Properati|Departamento en Venta en Bellavista
5694536661262567260|2024-09-06|189|1.38|137|2|3|Cumbaya, Valle Tumbaco, Quito, Pichincha|Publicado 25/02/2024||Properati|Departamento en Venta en Cumbaya
-3590288942080872489|2024-09-06|68|1.06|64|2|1|La Magdalena, Sur De Quito, Quito, Pichincha|Publicado 11/08/2022||Properati|Departamento en Venta en La Magdalena
409187910256092399|2024-09-06|168|1.77|95|2|2|Jipijapa, Centro Norte, Quito, Pichincha|Publicado 04/01/2024||Properati|Departamento en Venta en Jipijapa
5694536661262567260|2024-09-06|295|1.55|190|2|2|Cumbaya, Valle Tumbaco, Quito, Pichincha|Publicado 16/06/2024||Properati|Departamento en Venta en Cumbaya
-3590288942080872489|2024-09-06|92|0.88|104|3|2|La Magdalena, Sur De Quito, Quito, Pichincha|Publicado 05/12/2023||Properati|Departamento en Venta en La Magdalena
